Rent_PI,PCPI,UER,GDP,Pop,NPHU,lnpc,lnuer,lnrpi
306.838,63610,4.3,327508.186,688156,1947.74295,11.06052597,1.458615023,5.726319921
308.007,63610,4.7,328794.715,688156,1848.394539,11.06052597,1.547562509,5.73012251
308.817,63610,4.8,330081.244,688156,1764.965383,11.06052597,1.568615918,5.732748868
310.511,63610,4.9,331367.773,688156,2594.200147,11.06052597,1.589235205,5.738219327
312.657,63610,4.7,332654.302,688156,1857.138053,11.06052597,1.547562509,5.745106743
315.144,63610,4.7,333940.831,688156,1684.683838,11.06052597,1.547562509,5.753029677
316.409,63610,4.7,335227.36,688156,1926.026997,11.06052597,1.547562509,5.75703568
317.693,63610,4.9,336513.889,688156,1730.593915,11.06052597,1.589235205,5.761085508
319.199,66358,4.6,337800.412,710510,1936.63667,11.10281961,1.526056303,5.765814733
321.916,66358,5,339728.727,710510,1614.047401,11.10281961,1.609437912,5.774290642
323.46,66358,4.8,341657.042,710510,1839.423702,11.10281961,1.568615918,5.779075459
323.89,66358,4.7,343585.357,710510,2018.827722,11.10281961,1.547562509,5.780403952
325.611,66358,4.2,345513.672,710510,1892.371599,11.10281961,1.435084525,5.785703417
327.301,66358,4.3,347441.987,710510,2643.010274,11.10281961,1.458615023,5.790880237
329.929,66358,4.5,349370.302,710510,1925.890207,11.10281961,1.504077397,5.79887748
332.204,66358,4.5,351298.617,710510,1349.065175,11.10281961,1.504077397,5.805749238
333.947,66358,4.3,353226.932,710510,2668.014691,11.10281961,1.458615023,5.810982298
336.559,66358,4.4,355155.247,710510,2682.320531,11.10281961,1.481604541,5.818773468
337.715,66358,4.2,357083.562,710510,2055.805047,11.10281961,1.435084525,5.822202345
340.166,66358,4.2,359011.877,710510,2468.819473,11.10281961,1.435084525,5.829433734
341.841,69913,4,360940.192,729601,2214.0758,11.15500689,1.386294361,5.834345717
342.428,69913,4.3,363531.588,729601,2072.631083,11.15500689,1.458615023,5.836061417
343.797,69913,4.2,366122.984,729601,1934.089267,11.15500689,1.435084525,5.840051367
344.915,69913,4,368714.38,729601,2153.012922,11.15500689,1.386294361,5.84329801
347.695,69913,3.6,371305.776,729601,1821.805814,11.15500689,1.280933845,5.851325659
349.889,69913,3.9,373897.172,729601,2076.329411,11.15500689,1.360976553,5.857615961
352.595,69913,4.2,376488.568,729601,2111.246107,11.15500689,1.435084525,5.865320089
354.637,69913,4.2,379079.965,729601,2657.092176,11.15500689,1.435084525,5.871094731
357.257,69913,4.2,381671.361,729601,1878.626763,11.15500689,1.435084525,5.878455411
359.278,69913,4.1,384262.757,729601,2787.307254,11.15500689,1.410986974,5.884096462
363.236,69913,3.9,386854.153,729601,2703.960421,11.15500689,1.360976553,5.895052761
365.801,69913,4.1,389445.549,729601,2214.544595,11.15500689,1.410986974,5.90208947
366.628,74620,3.9,392036.945,744955,1849.665793,11.22016385,1.360976553,5.90434771
368.177,74620,4.4,392036.945,744955,2096.105344,11.22016385,1.481604541,5.908563801
368.755,74620,4.2,392036.945,744955,2972.781342,11.22016385,1.435084525,5.910132467
370.807,74620,3.9,392036.945,744955,2356.378301,11.22016385,1.360976553,5.915681712
372.487,74620,3.5,392036.945,744955,1625.203116,11.22016385,1.252762968,5.920202138
374.72,74620,3.6,392036.945,744955,2227.761711,11.22016385,1.280933845,5.92617908
375.525,74620,4,392036.945,744955,1212.587892,11.22016385,1.386294361,5.928325047
377.446,74620,3.9,392036.945,744955,1978.245573,11.22016385,1.360976553,5.933427512
379.697,74620,3.8,392036.945,744955,1787.253554,11.22016385,1.335001067,5.939373566
380.244,74620,3.7,392036.945,744955,1779.287754,11.22016385,1.30833282,5.940813152
382.12,74620,3.7,392036.945,744955,2394.826006,11.22016385,1.30833282,5.945734695
383.156,74620,3.9,392036.945,744955,2150.307255,11.22016385,1.360976553,5.948442217
